7,155,77,92
14,148,77,92
22,140,77,92
30,135,73,88
37,129,73,88
45,124,70,83
52,119,67,79
58,113,67,79
66,110,63,76
72,106,60,72
77,100,60,72
79,100,57,69
88,96,55,65
92,90,55,65
98,84,55,65
100,85,52,62
106,80,50,59
108,80,47,56
114,75,47,56
117,70,47,56
119,70,47,56
124,64,47,56
128,58,47,56
132,52,50,59
133,50,50,59
137,46,50,59
139,43,50,59
141,42,47,56
143,40,47,56
146,36,47,56
147,34,47,56
150,34,45,54
151,34,43,51
155,33,41,49
156,31,41,49
157,29,41,49
159,28,41,49
163,26,39,46
163,25,39,46
165,24,37,44
166,21,37,44
168,18,37,44
169,17,37,44
169,16,37,44
171,14,37,44
173,14,35,42
173,13,35,42
174,11,35,42
177,7,35,42
178,6,35,42
178,5,35,42
179,4,35,42
179,3,35,42
181,2,35,42
181,3,34,40
181,1,34,40
182,1,34,40
182,0,34,40
183,1,32,38
