7,162,105,101
14,155,105,101
23,148,100,96
32,143,95,92
38,137,95,92
44,130,95,92
48,126,95,92
56,122,91,87
59,119,91,87
67,113,86,83
75,109,82,79
82,105,78,75
82,102,78,75
90,97,75,72
91,95,75,72
98,90,71,68
106,86,68,65
106,84,68,65
112,78,68,65
112,77,68,65
119,70,68,65
119,69,68,65
127,64,64,62
126,64,64,62
131,58,64,62
136,52,64,62
136,51,64,62
130,57,64,62
136,50,64,62
130,56,64,62
131,56,64,62
131,54,64,62
132,53,64,62
131,48,68,65
132,46,68,65
132,45,68,65
134,44,68,65
135,42,68,65
137,40,68,65
138,39,68,65
140,39,64,62
141,37,64,62
143,36,64,62
144,34,64,62
145,34,64,62
146,30,64,62
148,29,64,62
148,29,64,62
149,26,64,62
150,24,64,62
150,22,64,62
152,20,64,62
154,19,61,59
154,18,61,59
155,16,61,59
156,14,61,59
156,12,61,59
